4,0,Gautier,Lloris,3,18-JUL-95,1695567600000,0,384909,822847,2569010,2569010;
8,0,Yassine,Kechta,2,25-FEB-02,1695567600000,1695573431080,1284906,1284906,2569010,2569010;
9,0,Mohamed Lamine,Bayo,1,04-JUN-98,1695567600000,1695572896360,1085538,1085538,2569010,2569010;
10,0,Nabil,Alioui,1,18-FEB-99,1695567600000,1695572888080,602558,979246,2569010,2569010;
11,0,Emmanuel Afriyie Ma,Sabbi,1,24-DEC-97,1695572888120,0,975613,975613,2569010,2569010;
14,0,Daler,Kuzyaev,2,15-JAN-93,1695567600000,1695573765200,9609564,822900,2569010,2569010;
17,0,Oualid,El Hajjam,3,19-FEB-91,1695573400520,0,923268,923268,2569010,2569010;
18,0,Nolan Jean Pierre,Mbemba,2,19-FEB-95,1695573765320,0,587980,836671,2569010,2569010;
19,0,Rassoul,Ndiaye,2,11-DEC-01,1695573431120,0,1175928,1175928,2569010,2569010;
20,0,Andy Elysee,Logbo,1,06-MAY-04,1695572896400,0,1400474,1400474,2569010,2569010;
22,0,Yoann,Salmier,3,21-NOV-92,1695567600000,0,596035,923267,2569010,2569010;
23,0,Josue,Casimir,1,24-SEP-01,1695567600000,1695573400480,1251141,1251141,2569010,2569010;
27,0,Christopher,Operi,3,29-APR-97,1695567600000,0,9613572,960150,2569010,2569010;
93,0,Arouna,Sangante,3,12-APR-02,1695567600000,0,1268707,1268707,2569010,2569010;
94,0,Abdoulaye,Toure,2,03-MAR-94,1695567600000,0,393401,750232,2569010,2569010;
2,1,Mehdi Embareck,Zeffane,3,19-MAY-92,1695572850720,0,379605,639608,2569010,2569010;
5,1,Maximiliano,Caufriez,3,16-FEB-97,1695567600000,0,596161,878576,2569010,2569010;
6,1,Habib Ali,Keita,2,05-FEB-02,1695573430520,0,1247717,1247717,2569010,2569010;
7,1,Yohann,Magnin,2,21-JUN-97,1695567600000,0,1124730,1124730,2569010,2569010;
8,1,Bilal,Boutobba,2,29-AUG-98,1695573783120,0,591429,861171,2569010,2569010;
10,1,Muhammed,Cham,2,26-SEP-00,1695567600000,1695573423680,1191576,1191576,2569010,2569010;
11,1,Jim Emilien,Allevinah,1,27-FEB-95,1695567600000,1695573783000,1163300,1163300,2569010,2569010;
12,1,Maxime,Gonalons,2,10-MAR-89,1695567600000,1695573430400,364844,515131,2569010,2569010;
15,1,Cheick Oumar,Konate,3,02-APR-04,1695567600000,1695572850600,1437288,1437288,2569010,2569010;
17,1,Andy Joseph,Pelmard,3,12-MAR-00,1695567600000,0,1080423,1080423,2569010,2569010;
18,1,Elbasan,Rashani,2,09-MAY-93,1695572839320,0,376204,598493,2569010,2569010;
23,1,Shamar Amaro,Nicholson,1,16-MAR-97,1695567600000,0,9617777,971013,2569010,2569010;
25,1,Johan,Gastien,2,25-JAN-88,1695567600000,1695572839280,380967,659621,2569010,2569010;
36,1,Alidu,Seidu,3,04-JUN-00,1695567600000,0,1232375,1232375,2569010,2569010;
95,1,Grejohn,Kyei,1,12-AUG-95,1695573423720,0,588968,836805,2569010,2569010;
30,3,Arthur,Desmas,4,07-APR-94,1695567600000,0,596241,881326,2569010,2569010;
99,4,Mory,Diaw,4,22-JUN-93,1695567600000,0,500085,789186,2569010,2569010;
