5,0,Leonardo Julian,Balerdi,3,26-JAN-99,1696770000000,0,1106097,1106097,2568948,2568948;
7,0,Jonathan,Clauss,3,25-SEP-92,1696770000000,0,605836,977445,2568948,2568948;
8,0,Azzedine,Ounahi,2,19-APR-00,1696770000000,1696775291360,1210156,1210156,2568948,2568948;
9,0,Vitor Manuel,Carvalho,1,15-MAR-00,1696775588800,0,1261369,1261369,2568948,2568948;
10,0,Pierre-Emerick Emil,Aubameyang,1,18-JUN-89,1696770000000,0,358353,459605,2568948,2568948;
11,0,Amine,Harit,2,18-JUN-97,1696770000000,1696775588720,939528,939528,2568948,2568948;
18,0,Abdoul Bamo,Meite,2,03-DEC-01,1696776198400,0,1327491,1327491,2568948,2568948;
19,0,Geoffrey Edwin,Kondogbia,2,15-FEB-93,1696775291400,0,371469,565842,2568948,2568948;
21,0,Valentin,Rongier,2,07-DEC-94,1696770000000,0,588301,840068,2568948,2568948;
23,0,Ismaila,Sarr,1,25-FEB-98,1696770000000,1696776185920,605453,930848,2568948,2568948;
29,0,Iliman Cheikh,Ndiaye,1,06-MAR-00,1696770000000,1696776198360,1145900,1145900,2568948,2568948;
34,0,Bilal,Nadir,2,28-NOV-03,1696776157120,0,1325368,1325368,2568948,2568948;
37,0,Emran,Soglo,2,11-JUL-05,1696776186000,0,1324631,1324631,2568948,2568948;
62,0,Michael Amir,Murillo,3,11-FEB-96,1696770000000,0,602164,871739,2568948,2568948;
99,0,Chancel,Mbemba,3,08-AUG-94,1696770000000,1696776157080,389096,723453,2568948,2568948;
4,1,Gautier,Lloris,3,18-JUL-95,1696770000000,0,384909,822847,2568948,2568948;
7,1,Loic,Nego,3,15-JAN-91,1696770000000,1696774438080,363963,499290,2568948,2568948;
8,1,Yassine,Kechta,2,25-FEB-02,1696770000000,1696774435880,1284906,1284906,2568948,2568948;
9,1,Mohamed Lamine,Bayo,1,04-JUN-98,1696770000000,1696775077280,1085538,1085538,2568948,2568948;
10,1,Nabil,Alioui,1,18-FEB-99,1696774438120,0,602558,979246,2568948,2568948;
14,1,Daler,Kuzyaev,2,15-JAN-93,1696774435920,0,9609564,822900,2568948,2568948;
17,1,Oualid,El Hajjam,3,19-FEB-91,1696770000000,0,923268,923268,2568948,2568948;
18,1,Nolan Jean Pierre,Mbemba,2,19-FEB-95,1696775994000,0,587980,836671,2568948,2568948;
19,1,Rassoul,Ndiaye,2,11-DEC-01,1696770000000,1696772367120,1175928,1175928,2568948,2568948;
23,1,Josue,Casimir,1,24-SEP-01,1696770000000,1696775074880,1251141,1251141,2568948,2568948;
27,1,Christopher,Operi,3,29-APR-97,1696770000000,0,9613572,960150,2568948,2568948;
29,1,Samuel,Grandsir,1,14-AUG-96,1696775077320,0,609767,914766,2568948,2568948;
45,1,Issa,Soumare,1,10-OCT-00,1696775074920,0,1196390,1196390,2568948,2568948;
93,1,Arouna,Sangante,3,12-APR-02,1696770000000,0,1268707,1268707,2568948,2568948;
94,1,Abdoulaye,Toure,2,03-MAR-94,1696770000000,1696775993960,393401,750232,2568948,2568948;
16,3,Pau,Pau Lopez,4,13-DEC-94,1696770000000,0,586055,824857,2568948,2568948;
30,4,Arthur,Desmas,4,07-APR-94,1696770000000,0,596241,881326,2568948,2568948;
