4,0,Gautier,Lloris,3,18-JUL-95,1693753200000,0,384909,822847,2568955,2568955;
7,0,Loic,Nego,3,15-JAN-91,1693753200000,1693759321280,363963,499290,2568955,2568955;
8,0,Yassine,Kechta,2,25-FEB-02,1693753200000,1693758379320,1284906,1284906,2568955,2568955;
9,0,Mohamed Lamine,Bayo,1,04-JUN-98,1693759326920,0,1085538,1085538,2568955,2568955;
10,0,Nabil,Alioui,1,18-FEB-99,1693753200000,1693759326800,602558,979246,2568955,2568955;
14,0,Daler,Kuzyaev,2,15-JAN-93,1693753200000,1693759330600,9609564,822900,2568955,2568955;
17,0,Oualid,El Hajjam,3,19-FEB-91,1693759321320,0,923268,923268,2568955,2568955;
18,0,Nolan Jean Pierre,Mbemba,2,19-FEB-95,1693759330720,0,587980,836671,2568955,2568955;
19,0,Rassoul,Ndiaye,2,11-DEC-01,1693758379400,0,1175928,1175928,2568955,2568955;
20,0,Andy Elysee,Logbo,1,06-MAY-04,1693753200000,1693757848920,1400474,1400474,2568955,2568955;
21,0,Antoine,Joujou,1,12-MAR-03,1693757849000,0,1434044,1434044,2568955,2568955;
22,0,Yoann,Salmier,3,21-NOV-92,1693753200000,0,596035,923267,2568955,2568955;
27,0,Christopher,Operi,3,29-APR-97,1693753200000,0,9613572,960150,2568955,2568955;
93,0,Arouna,Sangante,3,12-APR-02,1693753200000,0,1268707,1268707,2568955,2568955;
94,0,Abdoulaye,Toure,2,03-MAR-94,1693753200000,0,393401,750232,2568955,2568955;
3,1,Montassar Omar,Talbi,3,26-MAY-98,1693753200000,0,977212,977212,2568955,2568955;
12,1,Darlin Zidane,Yongwa,3,22-SEP-00,1693758339520,0,1193084,1193084,2568955,2568955;
13,1,Formose,Mendy,3,02-JAN-01,1693753200000,1693756026600,1167617,1167617,2568955,2568955;
14,1,Romain,Faivre,2,14-JUL-98,1693753200000,0,1092889,1092889,2568955,2568955;
15,1,Julien,Laporte,3,04-NOV-93,1693753200000,0,592677,880448,2568955,2568955;
19,1,Laurent,Abergel,2,01-FEB-93,1693753200000,0,383282,722144,2568955,2568955;
20,1,Dembo,Sylla,3,10-NOV-02,1693756800000,0,1407319,1407319,2568955,2568955;
21,1,Julien,J. Ponceau,2,28-NOV-00,1693753200000,1693758325920,1127236,1127236,2568955,2568955;
22,1,Eli Junior Eric Anat,Kroupi,2,23-JUN-06,1693757774200,0,1386457,1386457,2568955,2568955;
24,1,Gedeon,Kalulu,3,29-AUG-97,1693753200000,0,952416,952416,2568955,2568955;
25,1,Vincent,Le Goff,3,15-OCT-89,1693753200000,1693758339480,368067,540065,2568955,2568955;
26,1,Pablo,Pagis,1,29-DEC-02,1693753200000,1693757774120,1344439,1344439,2568955,2568955;
27,1,Aiyegun Oluwatosin,Tosin,1,26-JUN-98,1693757757600,0,1113297,1113297,2568955,2568955;
29,1,Sirine Ckene,Doucoure,1,08-APR-02,1693753200000,1693757757520,1232378,1232378,2568955,2568955;
37,1,Theo,Le Bris,3,01-OCT-02,1693758326000,0,1335476,1335476,2568955,2568955;
30,3,Arthur,Desmas,4,07-APR-94,1693753200000,0,596241,881326,2568955,2568955;
38,4,Yvon Landry,Mvogo,4,06-JUN-94,1693753200000,0,374260,602350,2568955,2568955;
